Tev,COP,CR,Tco-Tev
-175,9.625810112390276,5.0,10
-170,10.113486159185241,6.5,10
-165,10.599687606737568,5.3999999999999995,10
-160,11.087127039237252,4.153846153846153,10
-155,11.576884276041314,3.8148148148148153,10
-150,12.06157070983094,3.425925925925926,10
-145,12.542702835515541,3.0679611650485437,10
-140,13.026514099869114,2.805405405405405,10
-135,13.510859399355683,2.598101265822785,10
-130,13.996763093829468,2.418111753371869,10
-125,14.476835129831347,2.269183922046285,10
-120,14.954295509166148,2.1442231075697213,10
-115,15.429978172437753,2.0359634997316154,10
-110,15.906452040661181,1.943515421776291,10
-105,16.370688376983093,1.8634326390719747,10
-100,16.83804762623623,1.7934990439770553,10
-95,17.309042763302294,1.7321731748726656,10
-90,17.762889933575668,1.6781449893390192,10
-80,18.63989391930292,1.5877644368210406,10
-78,18.82458820820858,1.5719806206021456,10
-76,19.002326798163963,1.5569666754132774,10
-74,19.172399488367283,1.542561845064357,10
-72,19.333620023871344,1.52869694452944,10
-70,19.520205626160305,1.5155043412155402,10
-68,19.66933913122249,1.5027701339203814,10
-66,19.83404513824982,1.4905959282728867,10
-64,19.98654010627701,1.4789068800794094,10
-62,20.174704466994545,1.4676884364634568,10
-60,20.307304761582976,1.45689996567838,10
-58,20.46591466405102,1.4465305923140777,10
-56,20.606987378089503,1.4365601610021932,10
-54,20.750153076973675,1.4269773685424838,10
-52,20.886453364040236,1.4177447007481294,10
-50,21.02434183033861,1.4088396788866133,10
-48,21.16163627193329,1.4002903100578934,10
-46,21.302404422323157,1.3920099482126274,10
-44,21.458123856462304,1.384057971014493,10
-42,21.5547683467685,1.3763913700700838,10
-40,21.680567375886525,1.3689802428483229,10
-38,21.800657932706184,1.3618118920482625,10
-36,21.903403923225415,1.3549240668076397,10
-34,21.964994221306114,1.348300287798817,10
-32,22.11569424445152,1.34185303514377,10
-30,22.189822508602937,1.3356196561119984,10
-26,22.355615315661506,1.3239025204473378,10
-24,22.408423357093515,1.318289224952741,10
-22,22.41831450405946,1.3128720238095237,10
-20,22.4765440431992,1.3076327822722476,10
-16,22.513554786555726,1.2976738321881107,10
-14,22.533409561923914,1.292943777259963,10
-12,22.554722682451438,1.288410314536696,10
-10,22.48351828040108,1.2840004303851946,10
0,22.040362834353147,1.264172288096535,10
5,21.462736960573988,1.2556262321913478,10
10,20.570000751484283,1.2480114012992178,10
15,19.1199448063147,1.2413864612649976,10
20,16.16606402094099,1.2362501659806135,10
-175,6.345242160721455,13.0,15
-170,6.6654305204500846,13.499999999999998,15
-165,6.986420781434631,10.799999999999999,15
-160,7.306804477017355,7.9230769230769225,15
-155,7.6271832592692785,6.851851851851852,15
-150,7.944752953715544,5.851851851851852,15
-145,8.261851734012097,5.038834951456311,15
-140,8.578793079270529,4.437837837837837,15
-135,8.897624289859733,3.971518987341772,15
-130,9.212662188950809,3.5895953757225434,15
-125,9.528564036718349,3.277710109622412,15
-120,9.837834159307619,3.0223107569721113,15
-115,10.152294874313876,2.8073000536768653,15
-110,10.454701957314743,2.626532887402452,15
-105,10.765758496621343,2.4729765357237015,15
